,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-8.079627347283349,12.77850020997043,4.6988728626870815,428.6955878916665,4.817723035812378
10,1100,0.0011,-12.023458736929893,11.583924203023331,-0.4395345339065635,388.61972177555606,50.74027991294861
20,2100,0.0021,-9.32436067352952,6.6919655662642725,-2.6323951072652463,224.50335058429283,92.96747207641602
30,3100,0.0031000000000000003,-11.762518799843807,8.697742361817367,-3.064776438026442,291.79353710228384,137.42321681976318
40,4100,0.0041,-11.101308911641107,12.716000527116206,1.6146916154750954,426.59883648547805,182.20658612251282
50,5100,0.0051,-9.402827877604494,12.640825080830155,3.2379972032256603,424.07683612463205,227.62583184242249
60,6100,0.0061,-15.61669338085151,11.069700259831514,-4.546993121019995,371.36843782107553,276.0840315818786
70,7100,0.007099999999999999,-15.708060986697127,12.891426027614706,-2.8166349590824216,432.4840449866069,315.5449042320252
80,8100,0.0081,-19.985098682889507,11.753417888254154,-8.23168079463535,394.30592859482414,360.2697858810425
90,9100,0.0091,-15.93689180188106,14.175315889796432,-1.7615759120846268,475.5562295319182,404.829692363739
100,10100,0.0101,-16.474032276074677,9.812205331406682,-6.661826944667991,329.1817556006337,449.48239183425903
110,11100,0.0111,-22.727402834933486,14.820467609927018,-7.9069352250064675,497.19990378133485,486.3464617729187
120,12100,0.0121,-23.591059972129504,9.58056484386804,-14.01049512826146,321.41063587975987,518.2905538082123
130,13100,0.0131,-23.538961343084893,9.652490267011798,-13.8864710760731,323.8236038378393,548.6370792388916
140,14100,0.014099999999999996,-23.908782524893056,13.388286832068117,-10.520495692824936,449.1528270162294,579.0516374111177
150,15100,0.0151,-21.744616131971842,10.01894781023637,-11.725668321735471,336.11759212665413,609.6237370967865
160,16100,0.0161,-16.888214731262913,7.511453635465741,-9.376761095797171,251.99569427282842,640.3195426464082
170,17100,0.017099999999999997,-18.286026434771628,11.902068153695124,-6.383958281076507,399.29287634975265,670.7912490367888
180,18100,0.0181,-21.77340764995451,10.587302765817363,-11.18610488413715,355.18487371763666,701.222535610199
190,19100,0.0191,-24.0151732674784,9.793244871752776,-14.22192839572562,328.54566644584486,731.6423976421356
