,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-26.75469770233466,10.034016702443587,-16.720680999891073,336.62312622670515,4.832290887832642
10,1100,0.0011,-18.304900141231297,6.043197581896063,-12.261702559335234,202.73835720525653,50.754948854446404
20,2100,0.0021,-17.592763223570646,13.885943752730622,-3.7068194708400206,465.84831730587285,92.98217344284058
30,3100,0.0031000000000000003,-18.14228155463858,10.025265296276851,-8.117016258361726,336.3295323659327,137.43785786628723
40,4100,0.0041,-21.714310585291962,7.8434056578264455,-13.870904927465515,263.1320846973255,182.2212598323822
50,5100,0.0051,-26.659794567876677,8.696464884364055,-17.963329683512622,291.7506800424672,227.6404006481171
60,6100,0.0061,-25.870642736769515,7.7350363057786335,-18.13560643099088,259.4964887883998,276.09889817237854
70,7100,0.007099999999999999,-24.70333750889086,7.995779456485832,-16.707558052405034,268.243950262316,315.55956006050116
80,8100,0.0081,-23.231448917903595,6.904288401934463,-16.327160515969133,231.62639799712127,360.2842493057251
90,9100,0.0091,-30.586109130567344,14.293826921283724,-16.29228220928362,479.5320604573231,404.8443660736084
100,10100,0.0101,-29.74073128851418,7.029665429570441,-22.71106585894374,235.8325706846311,449.4970827102661
110,11100,0.0111,-26.84234932984971,9.878088771211331,-16.964260558638383,331.3920259371589,486.3614671230316
120,12100,0.0121,-26.94564701119013,8.25204611402528,-18.693600897164853,276.8412334806696,518.3055112361908
130,13100,0.0131,-26.816641386902127,10.113099994925378,-16.703541391976753,339.27622776489955,548.6520521640779
140,14100,0.014099999999999996,-24.795525228787245,11.453811275475402,-13.341713953311842,384.2546682050325,579.0665078163148
150,15100,0.0151,-21.67347490774709,11.83153807246333,-9.841936835283763,396.9267195910652,609.6386189460753
160,16100,0.0161,-23.739331935698985,8.75524863073084,-14.984083304968152,293.72276849518875,640.3345258235931
170,17100,0.017099999999999997,-25.613824976327205,11.178291723857527,-14.435533252469678,375.01148518545443,670.8062515258789
180,18100,0.0181,-27.402698526556836,9.554390647419602,-17.84830787913723,320.53253889265807,701.2375121116638
190,19100,0.0191,-25.88699168958064,7.9905815311196795,-17.89641015846096,268.069569260317,731.65740275383
200,20100,0.0201,-32.242289639006536,10.810661531335551,-21.43162810767099,362.67815663200133,762.0780417919159
210,21100,0.0211,-28.52431166244956,7.070807461556381,-21.453504200893175,237.21281150315133,792.6670823097229
220,22100,0.0221,-25.18788429514589,9.76784056090925,-15.420043734236646,327.69339772939946,823.2784478664398
230,23100,0.0231,-24.086246429276567,8.297417658493513,-15.788828770783052,278.3633667991153,853.7961030006409
240,24100,0.0241,-23.59314126773335,7.509665677719016,-16.083475590014338,251.93571152174152,884.3944897651672
250,25100,0.0251,-27.49362671401291,14.719593135181816,-12.774033578831096,493.8157474606723,914.8632504940033
260,26100,0.0261,-28.005586577526923,15.102665454310277,-12.902921123216641,506.667131453738,945.3634793758392
270,27100,0.0271,-28.604013183452334,8.476893195487389,-20.12711998796495,284.38444670516947,975.86253118515
280,28100,0.0281,-24.91310506308865,7.966734967872045,-16.946370095216604,267.2695601604491,1006.368390083313
290,29100,0.0291,-26.02562574178304,8.467365478767057,-17.55826026301598,284.06480902832385,1036.8884975910187
300,30100,0.0301,-29.962309108537106,14.908374474348633,-15.053934634188474,500.14902021156615,1067.430968284607
310,31100,0.0311,-22.24651854052369,7.103918420655142,-15.142600119868552,238.3236243405941,1098.0016374588013
320,32100,0.0321,-20.16681266914249,7.092214142426071,-13.074598526716413,237.93096695875641,1128.4836356639862
330,33100,0.0331,-18.353762058920395,14.71324686455786,-3.640515194362536,493.6028415506397,1159.0328028202055
340,34100,0.0341,-23.562056039564165,11.319875246586378,-12.242180792977786,379.76135649387766,1189.6942794322968
350,35100,0.0351,-25.931587365073923,11.708868617764502,-14.222718747309418,392.81138108229163,1220.1544535160065
360,36100,0.0361,-22.876144200410053,8.719526248651851,-14.156617951758204,292.5243471362961,1250.5931992530825
370,37100,0.0371,-20.960537842169842,9.096385114344027,-11.864152727825813,305.16728099593945,1281.0627343654633
380,38100,0.0381,-24.086649476745468,8.629622552946028,-15.457026923799445,289.5082406252856,1311.542362689972
390,39100,0.0391,-23.88555880222928,7.6583714925005175,-16.227187309728762,256.92452285665263,1342.0335264205933
400,40100,0.0401,-23.20131321412304,5.646931339143618,-17.55438187497942,189.4443409195397,1372.5331153869631
410,41100,0.0411,-25.210868049809807,15.055830335221426,-10.155037714588381,505.0958978518396,1402.9372205734253
420,42100,0.0421,-22.57245546639552,12.244067819249,-10.328387647146522,410.7663470446139,1433.4840393066406
430,43100,0.0431,-23.69167103898621,10.681794986092576,-13.009876052893636,358.35491693526444,1464.0186176300049
440,44100,0.0441,-26.46159848284102,11.918687130554789,-14.542911352286232,399.8504129884776,1494.5378687381744
450,45100,0.0451,-30.890880679246717,13.685764528013301,-17.205116151233412,459.13266609377433,1525.0203952789307
460,46100,0.0461,-30.083721178923163,10.964944778286256,-19.118776400636907,367.854080736284,1555.6189315319061
470,47100,0.0471,-30.914520018500067,6.945634506850075,-23.96888551164999,233.01348509361785,1586.1082184314728
480,48100,0.0481,-32.20206275278292,8.957682211925455,-23.244380540857467,300.5140492928781,1616.7159280776978
490,49100,0.0491,-30.05206558698187,9.665804237465704,-20.386261349516165,324.27026348467774,1647.2781417369845
500,50100,0.050099999999999985,-29.81302952998175,9.032618413101574,-20.78041111688017,303.0280234126655,1677.8579456806185
510,51100,0.051099999999999986,-28.47746470048116,11.566527173912974,-16.910937526568187,388.0360828899678,1708.486578464508
520,52100,0.0521,-27.950248196279613,11.104986253709793,-16.84526194256982,372.5522191445041,1739.0769910812378
530,53100,0.0531,-26.001902255864387,11.837740589599445,-14.16416166626494,397.1348028313817,1769.8254125118256
540,54100,0.0541,-27.535614003809997,12.008812199945126,-15.52680180386487,402.8739461865223,1800.204752922058
550,55100,0.0551,-27.5762266666407,11.826795696338165,-15.749430970302534,396.7676214428025,1830.602513551712
560,56100,0.0561,-32.285587557187206,11.479841275776582,-20.80574628141063,385.1279276719947,1861.554350614548
570,57100,0.0571,-29.627120385103716,14.351568641120211,-15.275551743983504,481.4691908031726,1904.9639699459078
580,58100,0.05810000000000001,-28.732878478153964,10.252639296631092,-18.48023918152287,343.9575191524483,1935.632529735565
590,59100,0.059099999999999986,-26.74356957492452,7.034813473163107,-19.708756101761416,236.00527824327926,1966.0874264240265
600,60100,0.0601,-28.56724477128831,6.750838321088043,-21.816406450200265,226.47842510988437,1996.616661310196
610,61100,0.0611,-28.057952291754432,9.309093441459948,-18.74885885029448,312.30326095008644,2027.096084833145
620,62100,0.0621,-25.161670829916073,8.691187698729497,-16.470483131186572,291.5736400017076,2057.6754438877106
